repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
huggingface/peft,Model development,Modeling & training,16318,10,0.06%,61,0.37%,1605,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.,"pacman100, BenjaminBossan, younesbelkada",100+,2022-11-25,2024-11-05,0
josStorer/chatGPTBox,Applications,Info aggregation,9988,10,0.10%,30,0.30%,750,"Integrating ChatGPT into your browser deeply, everything you need is here","josStorer, PeterDaveHello, okkidwi",39,2023-03-15,2024-07-30,36608
google-research/google-research,Model development,Modeling & training,34214,10,0.03%,67,0.20%,7897,Google Research,"joel-shor, rybakov, vratnakar",100+,2018-10-04,1000-01-01,0
THUDM/ChatGLM-6B,Model repo,Multilingual,40632,10,0.02%,35,0.09%,5207,ChatGLM-6B: An Open Bilingual Dialogue Language Model | 开源双语对话语言模型,"duzx16, rainatam, Xiao9905",46,2023-03-13,2024-06-27,0
QwenLM/Qwen-Agent,AI engineering,Agent,3403,9,0.26%,41,1.20%,337,"Agent framework and applications built upon Qwen>=2.0, featuring Function Calling, Code Interpreter, RAG, and Chrome extension.","JianxinMa, tuhahaha, zhenruzhang",16,2023-09-22,2024-08-14,0
GoogleCloudPlatform/generative-ai,Tutorials,,7299,9,0.12%,65,0.89%,1977,"Sample code and notebooks for Generative AI on Google Cloud, with Gemini on Vertex AI","holtskinner, renovate-bot, koverholt",100+,2023-05-05,2024-11-05,0
mikeroyal/Self-Hosting-Guide,Tutorials,,11028,9,0.08%,66,0.60%,587,"Self-Hosting Guide. Learn all about  locally hosting (on premises & private web servers) and managing software applications by yourself or your organization. Including Cloud, LLMs, WireGuard, Automation, Home Assistant, and Networking.","mikeroyal, Antoine-lb, bsamadi",13,2022-02-06,2024-02-11,0
langchain-ai/langchainjs,AI engineering,AIE framework,12627,9,0.07%,62,0.49%,2165,🦜🔗 Build context-aware reasoning applications 🦜🔗,"jacoblee93, bracesproul, nfcampos",100+,2023-02-06,2024-11-05,0
Trusted-AI/adversarial-robustness-toolbox,AI engineering,Evals,4856,9,0.19%,21,0.43%,1162,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams","beat-buesser, minhitbk, killianlevacher",100+,2018-03-15,2024-10-22,0
steven-tey/novel,Applications,Writing,13032,9,0.07%,56,0.43%,1063,Notion-style WYSIWYG editor with AI-powered autocompletion.,"steven-tey, andrewdoro, haydenbleasel",47,2023-03-21,2024-07-15,0
Project-MONAI/MONAI,Model development,Modeling & training,5825,9,0.15%,22,0.38%,1076,AI Toolkit for Healthcare Imaging,"wyli, Nic-Ma, KumoLiu",100+,2019-10-11,2024-10-29,0
sashabaranov/go-openai,AI engineering,AI interface,9181,9,0.10%,28,0.30%,1413,"OpenAI ChatGPT, GPT-3, GPT-4, DALL·E, Whisper API wrapper for Go","sashabaranov, vvatanabe, henomis",100+,2020-08-18,2024-10-29,0
milvus-io/milvus,Infrastructure,VectorDB,30299,9,0.03%,90,0.30%,2910,"A cloud-native vector database, storage for next generation AI applications","congqixia, JinHai-CN, bigsheeper",100+,2019-09-16,2024-11-05,169152
openai/evals,AI engineering,Evals,14969,9,0.06%,44,0.29%,2602,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks.","andrew-openai, rlbayes, jwang47",100+,2023-01-23,2024-09-30,0
open-mmlab/mmdetection,Model development,Modeling & training,29529,9,0.03%,72,0.24%,9457,OpenMMLab Detection Toolbox and Benchmark,"hellock, hhaAndroid, ZwwWayne",100+,2018-08-22,2023-07-21,0
Stability-AI/generative-models,Model repo,,24540,9,0.04%,55,0.22%,2730,Generative Models by Stability AI,"timudk, voletiv, akx",18,2023-06-22,2023-07-26,0
openai/shap-e,Model repo,Multimodal,11653,9,0.08%,25,0.21%,945,Generate 3D objects conditioned on text or images,"unixpickle, heewooj, ahmadmustafaanis",8,2023-04-19,2023-11-08,0
Stability-AI/stablediffusion,Model repo,,39046,9,0.02%,81,0.21%,5034,High-Resolution Image Synthesis with Latent Diffusion Models,"rromb, hardmaru, apolinario",17,2022-11-23,2023-03-24,0
xcanwin/KeepChatGPT,Applications,Bots,14592,9,0.06%,21,0.14%,728,这是一款提高ChatGPT的数据安全能力和效率的插件。并且免费共享大量创新功能，如：自动刷新、保持活跃、数据安全、取消审计、克隆对话、言无不尽、净化页面、展示大屏、拦截跟踪、日新月异、明察秋毫等。让我们的AI体验无比安全、顺畅、丝滑、高效、简洁。,"xcanwin, Ezra-Chan, neoOpus",12,2023-03-28,2024-05-03,0
lencx/ChatGPT,Applications,Bots,52822,9,0.02%,65,0.12%,5944,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)","lencx, yixinBC, tk103331",29,2022-12-07,2024-08-29,4122234
ucbepic/docetl,Applications,Info aggregation,1221,8,0.66%,52,4.26%,111,A system for agentic LLM-powered data processing and ETL,"shreyashankar, orban, staru09",10,2024-07-09,2024-11-03,0
X-PLUG/MobileAgent,Model repo,Multimodal,2949,8,0.27%,53,1.80%,273,Mobile-Agent: The Powerful Mobile Device Operation Assistant Family,"junyangwang0410, zhangxi1997, kx-kexi",10,2024-01-26,2024-09-23,0
unum-cloud/usearch,Infrastructure,VectorDB,2229,8,0.36%,34,1.53%,138,"Fast Open-Source Search & Clustering engine × for Vectors & 🔜 Strings × in C++, C, Python, JavaScript, Rust, Java, Objective-C, Swift, C#, GoLang, and Wolfram 🔍","ashvardanian, gurgenyegoryan, mgevor",55,2023-02-22,2024-11-04,1742
jxnl/instructor,AI engineering,Prompt engineering,8031,8,0.10%,87,1.08%,641,structured outputs for llms ,"jxnl, ivanleomk, shreya-51",100+,2023-06-14,2024-08-25,0
neuml/txtai,Infrastructure,VectorDB,9157,8,0.09%,90,0.98%,593,"💡 All-in-one open-source embeddings database for semantic search, LLM orchestration and language model workflows","davidmezzetti, saucam, 0206pdh",16,2020-08-09,2024-08-12,8248
Chainlit/chainlit,AI engineering,AIE framework,7118,8,0.11%,37,0.52%,933,Build Conversational AI in minutes ⚡️,"willydouhard, alimtunc, ramnes",77,2023-03-14,2024-10-31,0
state-spaces/mamba,Model repo,,13088,8,0.06%,64,0.49%,1113,Mamba SSM architecture,"tridao, albertfgu, epicfilemcnulty",32,2023-12-01,2024-11-05,4470
guidance-ai/guidance,AI engineering,Prompt engineering,19039,8,0.04%,76,0.40%,1043,A guidance language for controlling large language models.,"slundberg, marcotcr, riedgar-ms",70,2022-11-10,2024-10-30,0
Netflix/metaflow,Infrastructure,Compute management,8223,8,0.10%,26,0.32%,772,"Open Source Platform for developing, scaling and deploying serious ML, AI, and data science systems","savingoyal, romain-intel, saikonen",93,2019-09-17,2024-11-01,0
mit-han-lab/streaming-llm,AI engineering,Prompt engineering,6644,8,0.12%,20,0.30%,363,[ICLR 2024] Efficient Streaming Language Models with Attention Sinks,"Guangxuan-Xiao, songhan, cosmojg",5,2023-09-29,2023-10-05,0
microsoft/unilm,Model development,Modeling & training,20100,8,0.04%,59,0.29%,2547,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities","gitnlp, wolfshow, donglixp",60,2019-07-23,2024-10-30,7
karpathy/llama2.c,Model development,Inference optimization,17431,8,0.05%,48,0.28%,2085,Inference Llama 2 in one file of pure C,"karpathy, mpcusack-color, atamurad",88,2023-07-23,2024-02-13,0
lss233/chatgpt-mirai-qq-bot,Applications,Bots,13210,8,0.06%,34,0.26%,1562,🚀 一键部署！真正的 AI 聊天机器人！支持ChatGPT、文心一言、讯飞星火、Bing、Bard、ChatGLM、POE，多账号，人设调教，虚拟女仆、图片渲染、语音发送 | 支持 QQ、Telegram、Discord、微信 等平台,"lss233, Haibersut, lcjqyml",38,2022-12-05,2024-03-03,75731
suno-ai/bark,Model repo,Multimodal,35972,8,0.02%,80,0.22%,4242,🔊 Text-Prompted Generative Audio Model,"gkucsko, kmfreyberg, mcamac",16,2023-04-07,2023-04-22,0
microsoft/DeepSpeed,Model development,Modeling & training,35340,8,0.02%,77,0.22%,4098,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.","jeffra, mrwyattii, tjruwase",100+,2020-01-23,2024-11-04,0
lllyasviel/ControlNet,Model repo,,30268,8,0.03%,61,0.20%,2721,Let us control diffusion models!,"lllyasviel, eltociear, sethupavan12",6,2023-02-01,2023-04-08,0
facebookresearch/llama,Model repo,,56292,8,0.01%,91,0.16%,9561,Inference code for Llama models,"jspisak, ruanslv, sekyondaMeta",48,2023-02-14,2024-07-23,0
PlexPt/awesome-chatgpt-prompts-zh,Lists,Prompt engineering,52661,8,0.02%,61,0.12%,13523,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,"PlexPt, ImgBotApp, PeterDaveHello",24,2022-12-12,2024-07-01,0
AgentOps-AI/agentops,AI engineering,Agent,1989,7,0.35%,61,3.07%,191,"Python SDK for AI agent monitoring, LLM cost tracking, benchmarking, and more. Integrates with most LLMs and agent frameworks like CrewAI, Langchain, and Autogen","areibman, HowieG, bboynton97",23,2023-08-15,2024-11-05,0
Canner/WrenAI,Applications,Coding,2002,7,0.35%,30,1.50%,209,🚀 Open-source SQL AI Agent. A Text-to-SQL solution for your data! 🤘,"cyyeh, onlyjackfrost, wwwy3y3",33,2024-03-13,2024-11-05,2698
langroid/langroid,AI engineering,Agent,2597,7,0.27%,32,1.23%,243,Harness LLMs with Multi-Agent Programming,"pchalasani, Mohannadcse, nilspalumbo",22,2023-04-16,2024-11-02,1152
allenai/open-instruct,Model development,Modeling & training,1260,7,0.56%,13,1.03%,171,,"hamishivi, yizhongw, vwxyzjn",19,2023-06-09,2024-11-01,0
LiheYoung/Depth-Anything,Model repo,,6981,7,0.10%,43,0.62%,536,[CVPR 2024] Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data. Foundation Model for Monocular Depth Estimation,"LiheYoung, 1ssb",2,2024-01-22,2024-07-07,0
FasterDecoding/Medusa,Model development,Inference optimization,2290,7,0.31%,14,0.61%,155,Medusa: Simple Framework for Accelerating LLM Generation with Multiple Decoding Heads,"leeyeehoo, ctlllll, harveyp123",10,2023-09-10,2024-02-27,0
weaviate/Verba,Applications,Info aggregation,6243,7,0.11%,35,0.56%,675,Retrieval Augmented Generation (RAG) chatbot powered by Weaviate,"thomashacker, erika-cardenas, dudanogueira",29,2023-07-28,2024-10-21,44
NVIDIA/NeMo,Model development,Modeling & training,12031,7,0.06%,62,0.52%,2505,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)","okuchaiev, blisc, titu1994",100+,2019-08-05,2024-11-05,104939
argilla-io/argilla,Model development,Dataset engineering,3940,7,0.18%,20,0.51%,373,Argilla is a collaboration tool for AI engineers and domain experts to build high-quality datasets,"frascuchon, alvarobartt, davidberenstein1957",90,2021-04-28,2024-11-04,0
InternLM/xtuner,Model development,Modeling & training,3929,7,0.18%,19,0.48%,306,"An efficient, flexible and full-featured toolkit for fine-tuning LLM (InternLM2, Llama3, Phi3, Qwen, Mistral, ...)","LZHgrla, HIT-cwh, pppppM",29,2023-07-11,2024-10-22,0
FlagAlpha/Llama2-Chinese,Model repo,Multilingual,13947,7,0.05%,61,0.44%,1252,Llama中文社区，Llama3在线体验和微调模型已开放，实时汇总最新Llama3学习资料，已将所有代码更新适配Llama3，构建最好的中文Llama大模型，完全开源可商用,"Rayrtfr, LlamaFamily, ZHangZHengEric",15,2023-07-19,2024-07-25,0
princeton-nlp/SWE-agent,Applications,Coding,13637,7,0.05%,54,0.40%,1382,"[NeurIPS 2024] SWE-agent takes a GitHub issue and tries to automatically fix it, using GPT-4, or your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges.","klieret, ofirpress, talorabr",60,2024-04-02,2024-11-04,0
nerfstudio-project/nerfstudio,Model development,Modeling & training,9503,7,0.07%,35,0.37%,1296,A collaboration friendly studio for NeRFs,"tancik, evonneng, ethanweber",100+,2022-05-31,2024-10-24,0
cpacker/MemGPT,AI engineering,Agent,12071,7,0.06%,37,0.31%,1335,Letta (fka MemGPT) is a framework for creating stateful LLM services.,"cpacker, sarahwooders, vivi",92,2023-10-11,2024-11-05,0
mckaywrigley/chatbot-ui,AI engineering,AI interface,28694,7,0.02%,57,0.20%,7984,"Come join the best place on the internet to learn AI skills. Use code ""chatbotui"" for an extra 20% off.","mckaywrigley, fkesheh, faraday",47,2023-03-11,2024-06-22,0
linexjlin/GPTs,Lists,,28668,7,0.02%,40,0.14%,3887,leaked prompts of GPTs,"linexjlin, anchit-h, michaelskyba",33,2023-11-11,2024-09-27,0
openai/simple-evals,AI engineering,Evals,1863,6,0.32%,232,12.45%,163,,"kzl-openai, karina-openai, yuchenhe07",6,2024-04-11,2024-10-31,0
KimMeen/Time-LLM,AI engineering,AIE framework,1414,6,0.42%,36,2.55%,247,"[ICLR 2024] Official implementation of "" 🦙 Time-LLM: Time Series Forecasting by Reprogramming Large Language Models""","KimMeen, qingsongedu, kwuking",7,2024-01-20,2024-04-23,0
pytorch-labs/ao,Model development,Inference optimization,1535,6,0.39%,34,2.21%,159,PyTorch native quantization and sparsity for training and inference,"jerryzh168, msaroufim, HDCharles",78,2023-11-03,2024-11-05,0
ollama/ollama-js,AI engineering,AI interface,2163,6,0.28%,30,1.39%,161,Ollama JavaScript library,"BruceMacD, saul-jb, jmorganca",19,2023-09-13,2024-09-03,0
aurelio-labs/semantic-router,AI engineering,AIE framework,2074,6,0.29%,28,1.35%,213,Superfast AI decision making and intelligent processing of multi-modal data.,"jamescalam, Siraj-Aizlewood, simjak",35,2023-10-30,2024-10-28,0
open-compass/opencompass,AI engineering,Evals,4034,6,0.15%,43,1.07%,428,"OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.","Leymore, bittersweet1999, tonysy",100+,2023-06-15,2024-01-24,3631
lucidrains/vector-quantize-pytorch,Model development,Inference optimization,2580,6,0.23%,26,1.01%,206,"Vector (and Scalar) Quantization, in Pytorch","lucidrains, sekstini, MisterBourbaki",17,2020-06-09,2024-10-11,0
tensorchord/Awesome-LLMOps,Lists,,3954,6,0.15%,36,0.91%,379,An awesome & curated list of best LLMOps tools for developers,"gaocegege, WarrenWen666, NeroHin",83,2022-04-15,2024-10-10,0
meta-llama/PurpleLlama,AI engineering,Evals,2684,6,0.22%,22,0.82%,442,Set of tools to assess and improve LLM security.,"SimonWan, dwjsong, cynikolai",26,2023-12-06,2024-04-18,0
opendilab/awesome-RLHF,Lists,,3424,6,0.18%,27,0.79%,210,A curated list of reinforcement learning with human feedback resources (continually updated),"ruoyuGao, PaParaZz1, Cloud-Pku",25,2023-02-13,2024-10-28,0
princeton-nlp/tree-of-thought-llm,AI engineering,Prompt engineering,4784,6,0.13%,27,0.56%,446,[NeurIPS 2023] Tree of Thoughts: Deliberate Problem Solving with Large Language Models,"ysymyth, karthikncode, nirabo",5,2023-05-17,2023-06-07,0
camel-ai/camel,Applications,Bots,5556,6,0.11%,31,0.56%,677,🐫 CAMEL: Finding the Scaling Law of Agents. The first and the best multi-agent framework. https://www.camel-ai.org,"Wendong-Fan, lightaime, Obs01ete",53,2023-03-17,2024-11-05,29
google-deepmind/graphcast,Model development,Modeling & training,4620,6,0.13%,24,0.52%,587,,"alvarosg, voctav, tewalds",7,2023-07-14,2024-01-03,0
stas00/ml-engineering,Tutorials,,11572,6,0.05%,51,0.44%,703,Machine Learning Engineering Open Book,"stas00, Quentin-Anthony, pitmonticone",30,2020-09-02,2024-10-30,0
salesforce/BLIP,Model repo,Multimodal,4790,6,0.13%,21,0.44%,640,PyTorch code for BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation  ,AK391,1,2022-01-25,2022-02-08,0
google-research/vision_transformer,Model repo,Multimodal,10382,6,0.06%,45,0.43%,1288,,"andsteing, akolesnikoff, sayakpaul",21,2020-10-21,2024-02-06,0
guoyww/AnimateDiff,Model repo,,10525,6,0.06%,45,0.43%,870,Official implementation of AnimateDiff.,"guoyww, yuwei849, AnyiRao",6,2023-06-17,2023-07-19,0
openai/tiktoken,Model development,Dataset engineering,12308,6,0.05%,50,0.41%,833,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,"hauntsaninja, l0rinc, alvarobartt",15,2022-12-01,2024-10-03,0
GreyDGL/PentestGPT,Applications,Coding,7185,6,0.08%,26,0.36%,872,A GPT-empowered penetration testing tool,"GreyDGL, vmayoral, deepsource-autofix[bot]",22,2023-02-27,2024-11-04,0
activeloopai/deeplake,Infrastructure,VectorDB,8147,6,0.07%,29,0.36%,623,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai","FayazRahman, AbhinavTuli, verbose-void",100+,2019-08-09,2024-08-06,0
threestudio-project/threestudio,Model repo,Multimodal,6279,6,0.10%,22,0.35%,478,A unified framework for 3D content generation.,"bennyguo, thuliu-yt16, DSaurus",29,2023-04-06,2024-10-02,0
skypilot-org/skypilot,Infrastructure,Compute management,6746,6,0.09%,23,0.34%,501,"SkyPilot: Run AI and batch jobs on any infra (Kubernetes or 12+ clouds). Get unified execution, cost savings, and high GPU availability via a simple interface.","Michaelvll, concretevitamin, romilbhardwaj",95,2021-08-11,2024-11-05,0
netease-youdao/QAnything,AI engineering,AIE framework,11791,6,0.05%,38,0.32%,1138,Question and Answer based on Anything.,"xixihahaliu, successren, vsou",18,2024-01-03,2024-10-26,0
bigscience-workshop/petals,Model development,Inference optimization,9216,6,0.07%,28,0.30%,521,"🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading","borzunov, justheuristic, dbaranchuk",17,2022-06-12,2024-08-25,0
karpathy/llm.c,Model development,Inference optimization,24301,6,0.02%,62,0.26%,2742,"LLM training in simple, raw C/CUDA","karpathy, ngc92, gordicaleksa",64,2024-04-08,2024-07-15,0
Unity-Technologies/ml-agents,Applications,Bots,17173,6,0.03%,41,0.24%,4155,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,"vincentpierre, awjuliani, surfnerd",100+,2017-09-08,2024-10-28,87
OthersideAI/self-operating-computer,Applications,Workflow automation,8820,6,0.07%,21,0.24%,1180,A framework to enable multimodal models to operate a computer.,"joshbickett, michaelhhogue, klxu03",24,2023-11-04,2024-05-16,0
mlc-ai/mlc-llm,Model development,Inference optimization,19117,6,0.03%,44,0.23%,1571,Universal LLM Deployment Engine with ML Compilation,"MasterJH5574, junrushao, tqchen",100+,2023-04-29,2024-11-02,0
BlinkDL/RWKV-LM,Model repo,,12622,6,0.05%,28,0.22%,859,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding.","BlinkDL, www, saharNooby",5,2021-08-08,2023-10-05,580
hpcaitech/Open-Sora,Model repo,Multimodal,22128,6,0.03%,49,0.22%,2162,Open-Sora: Democratizing Efficient Video Production for All,"zhengzangw, Shen-Chenhui, FrankLeeeee",49,2024-02-20,2024-07-12,0
NVIDIA/TensorRT,Model development,Inference optimization,10754,6,0.06%,21,0.20%,2129,NVIDIA® TensorRT™ is an SDK for high-performance deep learning inference on NVIDIA GPUs. This repository contains the open source components of TensorRT.,"rajeevsrao, kevinch-nv, shuyuelan",74,2019-05-02,2024-10-10,0
kaixindelele/ChatPaper,Applications,Info aggregation,18438,6,0.03%,31,0.17%,1934,Use ChatGPT to summarize the arXiv papers. 全流程加速科研，利用chatgpt进行论文全文总结+专业翻译+润色+审稿+审稿回复,"kaixindelele, WangRongsheng, MrPeterJin",13,2023-03-08,2023-08-13,0
getumbrel/llama-gpt,Applications,Bots,10788,6,0.06%,12,0.11%,698,"A self-hosted, offline, ChatGPT-like chatbot. Powered by Llama 2. 100% private, with no data leaving your device. New: Code Llama support!","mckaywrigley, mayankchhabra, thomasleveil",93,2023-07-22,2023-10-09,0
lmnr-ai/lmnr,Infrastructure,Monitoring,950,5,0.53%,87,9.16%,45,"Laminar - open-source all-in-one platform for engineering AI products. Traces, Evals, Datasets, Labels. YC S24.","dinmukhamedm, skull8888888, temirrr",7,2024-08-29,2024-11-05,0
Helicone/helicone,Infrastructure,Monitoring,1900,5,0.26%,39,2.05%,208,"🧊 Open source LLM-Observability Platform for Developers. One-line integration for monitoring, metrics, evals, agent tracing, prompt management, playground, etc. Supports OpenAI SDK, Vercel AI SDK, Anthropic SDK, LiteLLM, LLamaIndex, LangChain, and more. 🍓 YC W23","chitalian, ScottMktn, colegottdank",53,2023-01-31,2024-11-05,0
jeinlee1991/chinese-llm-benchmark,AI engineering,Evals,2742,5,0.18%,56,2.04%,127,中文大模型能力评测榜单：目前已囊括128个大模型，覆盖chatgpt、gpt-4o、谷歌gemini、百度文心一言、阿里通义千问、百川、讯飞星火、商汤senseChat、minimax等商用模型， 以及qwen2.5、llama3.1、glm4、书生internLM2.5、openbuddy、AquilaChat等开源大模型。不仅提供能力评分排行榜，也提供所有模型的原始输出结果！,jeinlee1991,1,2023-06-04,1000-01-01,0
princeton-nlp/SWE-bench,AI engineering,Evals,1930,5,0.26%,38,1.97%,333,[ICLR 2024] SWE-bench: Can Language Models Resolve Real-world Github Issues?,"john-b-yang, carlosejimenez, klieret",30,2023-10-04,2024-10-25,0
parthsarthi03/raptor,AI engineering,AIE framework,935,5,0.53%,17,1.82%,132,The official implementation of RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,"parthsarthi03, ExtReMLapin, LLLeoLi",4,2024-02-27,2024-09-03,0
eli64s/readme-ai,Applications,Coding,1563,5,0.32%,23,1.47%,167,"README file generator, powered by AI.","eli64s, hansipie, Zxilly",4,2023-01-16,2024-08-21,0
homanp/superagent,AI engineering,Agent,5277,5,0.09%,76,1.44%,836,🥷 Run AI-agents with an API,"homanp, elisalimli, dsinghvi",58,2023-05-10,2024-10-20,0
Arize-ai/phoenix,AI engineering,Evals,3846,5,0.13%,44,1.14%,286,AI Observability & Evaluation,"mikeldking, RogerHYang, axiomofjoy",62,2022-11-09,2024-11-04,0
Azure/PyRIT,AI engineering,Evals,1869,5,0.27%,21,1.12%,358,The Python Risk Identification Tool for generative AI (PyRIT) is an open access automation framework to empower security professionals and machine learning engineers to proactively find risks in their generative AI systems.,"rlundeen2, romanlutz, rdheekonda",48,2023-12-12,2024-11-05,0
lxtGH/OMG-Seg,Model repo,,1289,5,0.39%,13,1.01%,48,OMG-LLaVA and OMG-Seg codebase [CVPR-24 and NeurIPS-24],"lxtGH, zhang-tao-whu, HarborYuan",5,2024-01-05,2024-07-04,0
evalplus/evalplus,AI engineering,Evals,1228,5,0.41%,12,0.98%,109,Rigourous evaluation of LLM-synthesized code - NeurIPS 2023 & COLM 2024,"ganler, Kristoff-starling, brutalsavage",18,2023-04-15,2024-10-31,2240
huggingface/text-embeddings-inference,Infrastructure,Serving,2799,5,0.18%,26,0.93%,176,A blazing fast inference solution for text embeddings models,"OlivierDehaene, kozistr, XciD",28,2023-10-13,2024-11-05,0
EleutherAI/lm-evaluation-harness,AI engineering,Evals,6882,5,0.07%,52,0.76%,1837,A framework for few-shot evaluation of language models.,"lintangsutawika, haileyschoelkopf, leogao2",100+,2020-08-28,2024-11-05,0
miurla/morphic,Applications,Bots,6221,5,0.08%,43,0.69%,1591,An AI-powered search engine with a generative UI,"miurla, casistack, leerob",22,2024-04-05,2024-11-05,0
cg123/mergekit,Model development,Modeling & training,4776,5,0.10%,33,0.69%,434,Tools for merging pretrained large language models.,"cg123, MonsterAzi, nyxkrage",23,2023-08-21,2024-10-29,0
seatgeek/thefuzz,AI engineering,Dataset engineering,2865,5,0.17%,19,0.66%,137,Fuzzy String Matching in Python,"maxbachmann, hugovk, johnthedebs",13,2021-03-05,2024-02-27,0
kserve/kserve,Infrastructure,Serving,3585,5,0.14%,23,0.64%,1060,Standardized Serverless ML Inference Platform on Kubernetes,"yuzisun, sivanantha321, andyi2it",100+,2019-03-27,2024-11-05,1110249
MuiseDestiny/zotero-gpt,Applications,Info aggregation,5147,5,0.10%,32,0.62%,210,GPT Meet Zotero.,"MuiseDestiny, windingwind, zfb132",9,2023-03-28,2023-06-24,177857
QwenLM/Qwen-VL,Model repo,Multimodal,5007,5,0.10%,31,0.62%,377,The official repo of Qwen-VL (通义千问-VL) chat & pretrained large vision language model proposed by Alibaba Cloud.,"ShuaiBai623, jinze1994, simonJJJ",13,2023-08-21,2023-09-14,0
Portkey-AI/gateway,Infrastructure,Serving,6222,5,0.08%,37,0.59%,446,"A Blazing Fast AI Gateway with integrated Guardrails. Route to 200+ LLMs, 50+ AI Guardrails with 1 fast & friendly API.","VisargD, narengogi, roh26it",43,2023-08-23,2024-11-05,0
allenai/OLMo,Model repo,,4595,5,0.11%,27,0.59%,465,"Modeling, training, eval, and inference code for OLMo","epwalsh, dirkgr, 2015aroras",40,2023-02-20,2024-11-01,45
openai/triton,Model development,Inference optimization,13299,5,0.04%,64,0.48%,1629,Development repository for the Triton language and compiler,"ptillet, Jokeren, ThomasRaoux",100+,2014-08-30,2024-11-05,0
openai/openai-node,AI engineering,AI interface,7910,5,0.06%,38,0.48%,859,The official Node.js / Typescript library for the OpenAI API,"stainless-app[bot], schnerd, RobertCraigie",24,2021-12-14,2024-11-04,0
openai/guided-diffusion,Model repo,Multimodal,6228,5,0.08%,27,0.43%,820,,"unixpickle, LeeDoYup, prafullasd",5,2021-04-27,2022-07-15,0
yangjianxin1/Firefly,Model development,Modeling & training,5824,5,0.09%,25,0.43%,525,Firefly: 大模型训练工具，支持训练Qwen2.5、Qwen2、Yi1.5、Phi-3、Llama3、Gemma、MiniCPM、Yi、Deepseek、Orion、Xverse、Mixtral-8x7B、Zephyr、Mistral、Baichuan2、Llma2、Llama、Qwen、Baichuan、ChatGLM2、InternLM、Ziya2、Vicuna、Bloom等大模型,"yangjianxin1, LDLINGLINGLING",2,2023-04-02,2024-10-24,0
RUCAIBox/LLMSurvey,Lists,,10333,5,0.05%,44,0.43%,811,"The official GitHub page for the survey paper ""A Survey of Large Language Models"".","EliverQ, StevenTang1998, hyp1231",13,2023-03-14,2023-08-31,0
bentoml/OpenLLM,Infrastructure,Serving,9992,5,0.05%,41,0.41%,635,"Run any open-source LLMs, such as Llama, Gemma, as OpenAI compatible API endpoint in the cloud.","aarnphm, bojiang, larme",31,2023-04-19,2024-11-05,9728
THUDM/AgentBench,AI engineering,Evals,2198,5,0.23%,9,0.41%,154,A Comprehensive Benchmark to Evaluate LLMs as Agents (ICLR'24),"HenryCai11, Longin-Yu, zhc7",10,2023-07-28,2024-08-13,0
erikbern/ann-benchmarks,AI engineering,Evals,4954,5,0.10%,19,0.38%,748,Benchmarks of approximate nearest neighbor libraries in Python,"erikbern, maumueller, ale-f",74,2015-05-28,2024-10-29,0
nmslib/hnswlib,Infrastructure,VectorDB,4357,5,0.11%,16,0.37%,645,Header-only C++/python library for fast approximate nearest neighbors,"yurymalkov, dyashuni, dbespalov",49,2017-07-06,2024-07-21,0
huggingface/text-generation-inference,Infrastructure,Serving,9000,5,0.06%,32,0.36%,1059,Large Language Model Text Generation Inference,"OlivierDehaene, Narsil, danieldk",100+,2022-10-08,2024-11-04,0
clovaai/donut,Model repo,Multimodal,5808,5,0.09%,19,0.33%,474,"Official Implementation of OCR-free Document Understanding Transformer (Donut) and Synthetic Document Generator (SynthDoG), ECCV 2022","gwkrsrch, moonbings, eltociear",7,2022-07-20,2022-10-05,0
